0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
-62,-53,-49,-42,-60,-57,0,-45,-22,-61,-56,-20,-66,-53,-55,-45,-64,-20,-62,-29,-57,-57,-20,-58,-20,-48,-49,-20,-67,-65,-62,-54,-50,-66,-69,-73,-72,-65,-71,-59,-65,-69,-66,-71,-69,-71,-72,-71,-70,-69,4.53,1.13
-71,-74,-69,-72,-72,-73,-74,-69,0,-73,-72,-68,-69,-68,-70,-66,-68,-72,-70,-71,-70,-58,-74,-73,0,-68,-71,-71,-65,-72,-69,-68,-68,-72,-66,-70,-68,-69,-71,-69,-70,-65,-72,-68,-73,-72,-60,-70,-70,-70,1.32,3.57
-46,-62,-64,-20,-61,-61,-62,-48,-69,-42,-58,-42,-59,-65,-20,-20,-55,-52,-46,-42,-46,-35,-56,-20,-20,-59,-48,-65,-65,-55,-20,-20,-39,-60,-68,-54,-58,-67,-70,-52,-69,-69,-63,0,-65,-65,-68,-71,-69,-69,4.26,1.34
-69,-69,0,0,0,-72,-73,-72,0,-67,0,-70,-67,-71,-68,0,0,0,-68,0,0,-70,0,0,0,-70,-72,0,-68,0,0,0,-72,0,-66,-68,-64,-67,-70,-71,-66,-65,-68,-70,-66,-72,-72,-70,-72,-71,1.43,2.38
-63,-63,-59,-68,-63,-64,-50,-49,-52,-60,-62,-61,-62,-57,-64,-67,-61,-41,-52,-46,-61,-53,-63,-63,-58,-58,-63,-45,-67,-63,-65,-67,-63,-63,-64,-63,-63,-60,-63,-65,-53,-58,-70,-69,-65,-69,-58,-63,-71,-69,3.63,1.91
-20,-66,-43,-59,-62,-55,-58,-63,-62,-61,-65,-65,-62,-61,-70,-20,-68,-55,-60,-59,-61,-55,-61,0,0,0,-54,-66,-60,-67,-62,-67,0,0,-65,0,-68,-68,-65,-67,-70,-65,-68,-70,-71,-73,-71,-68,-71,-68,3.36,0.89
-73,-71,-71,-71,-72,-68,-64,-73,-73,-73,-71,-71,0,-70,-71,-52,-63,-68,-66,-65,-67,-66,-64,-66,-66,-57,-57,-68,-71,-64,-65,-67,-65,-61,-20,-63,-39,-70,-69,-62,-60,-57,-49,-60,-50,-40,-53,-20,-59,-58,3.76,4.45
-62,-66,-60,-64,-67,-56,-69,-63,0,-68,-50,-70,-67,0,-63,0,-68,-65,0,0,-70,-55,-68,-55,-61,-56,-65,-67,-65,-71,-53,-67,-74,-61,-72,-51,-64,-72,-70,-66,-69,-67,-66,-70,-71,-70,-68,-63,-73,-70,2.68,1.13
-65,0,-69,-71,-65,-68,-67,-72,-64,-69,-66,-74,-63,-72,-63,-70,-67,-74,-70,-74,-68,-73,-70,-72,-72,-70,-68,-72,-70,-69,-69,-68,-71,-70,-72,-73,-73,-71,-70,-69,-67,-74,-72,-71,-72,-72,-73,-72,-73,0,1.39,0.57
-72,-71,-73,-68,-71,-73,-70,-71,-65,-72,-72,-73,-64,-73,-68,-69,-69,-65,-71,-69,-63,-68,-63,-58,-68,-70,-60,-52,-71,-68,-64,-72,-63,-64,-63,-58,-58,-60,-58,-60,-57,-55,-20,-50,-62,-20,-63,-52,-20,-42,4.51,4.76
-62,-62,-49,-63,-56,-65,-58,-60,-63,-55,-52,-63,-61,-55,-55,-61,-64,-66,-59,-55,-67,-48,-65,-60,-61,-63,-62,-65,-28,-61,-67,-66,-56,-62,-63,-66,-67,-63,-64,-66,-70,-68,-69,-65,-70,-71,-68,-70,-72,-64,3.33,1.29
-69,-61,-71,-70,-68,-69,-67,-65,-73,-68,-62,-68,-54,-50,-68,-63,-53,-64,-65,-61,-66,-66,-52,-61,-67,-62,-58,-20,-65,-61,-54,0,-60,-62,-20,-56,-26,-41,-57,-64,-62,-62,0,-39,-50,-63,-20,-53,-66,-62,4.14,3.56
-71,-70,-73,-73,-70,-68,-68,-73,-74,-73,-71,-69,-70,-69,-70,-66,-71,-70,-69,-69,-66,-69,-71,-71,-67,-59,-64,-64,-62,-58,-62,-67,-20,-68,-60,-72,-52,0,-60,-57,-66,-49,-69,-55,-66,-56,-66,-55,-67,-68,2.81,4.53
-71,-71,-70,-74,-64,-73,-65,-69,-70,-62,-72,-71,-65,-71,-68,-70,-68,-67,-71,-65,-64,-68,-66,-71,-70,-67,-67,-63,-69,-73,-68,-67,0,0,0,0,-71,-71,-73,-72,-72,-72,-69,-73,-66,-68,-70,-70,-65,-73,1.71,2.37
